OUTLIERS: 

1. invoice_number: 8041106800 	price: 304.08 	item_sku: 62344-641 	size: EA 	z-score: 13.124812261
2. invoice_number: 8041087022 	price: 782.41 	item_sku: 82026-428 	size: CS 	z-score: 12.4459652586
3. invoice_number: 8041566069 	price: 54.4 	item_sku: TXTX8691INT 	size: PK 	z-score: 12.1655250606
4. invoice_number: 8041066476 	price: 82.6 	item_sku: 32933-972 	size: PK 	z-score: 10.3632015578
5. invoice_number: 8041575364 	price: 1108.38 	item_sku: 73520-984 	size: CS 	z-score: 9.38718230329
6. invoice_number: 8042612072 	price: 172.5 	item_sku: 89130-896 	size: CS 	z-score: 9.24637326438
7. invoice_number: 8042568347 	price: 557.64 	item_sku: 28199-778 	size: CS 	z-score: 8.9040078528
8. invoice_number: 8041510768 	price: 250.43 	item_sku: 89039-656 	size: CS 	z-score: 8.32803103382
9. invoice_number: 8041087825 	price: 2615.0 	item_sku: 414004-500 	size: PK 	z-score: 8.30651642096
10. invoice_number: 8041586570 	price: 8065.0 	item_sku: 89130-888 	size: CS 	z-score: 7.99855938208
11. invoice_number: 8041579445 	price: 251.1 	item_sku: 89038-268 	size: PK 	z-score: 7.92618454297
12. invoice_number: 8041560226 	price: 760.05 	item_sku: 32934-082 	size: CS 	z-score: 7.63279633725
13. invoice_number: 8042620327 	price: 438.98 	item_sku: 40101-162 	size: CS 	z-score: 7.589651883
14. invoice_number: 8041536259 	price: 71.24 	item_sku: TWTX8410 	size: PK 	z-score: 7.54983443527
15. invoice_number: 8041099941 	price: 527.2 	item_sku: 32916-534 	size: CS 	z-score: 7.42567789388
16. invoice_number: 8042625475 	price: 449.52 	item_sku: 82051-182 	size: CS 	z-score: 7.39760903096
17. invoice_number: 8041410374 	price: 229.53 	item_sku: BD353136 	size: CS 	z-score: 7.36336531917
18. invoice_number: 8041102288 	price: 53.84 	item_sku: 40101-346 	size: PK 	z-score: 7.25173597993
19. invoice_number: 8041103635 	price: 576.0 	item_sku: 25384-088 	size: CS 	z-score: 7.1517078585
20. invoice_number: 8041561250 	price: 41.6 	item_sku: 82026-426 	size: PK 	z-score: 7.13437630732
21. invoice_number: 8042620327 	price: 438.98 	item_sku: 40101-160 	size: CS 	z-score: 6.97434320259
22. invoice_number: 8041409804 	price: 125.1 	item_sku: 29443-045 	size: CS 	z-score: 6.92237663752
23. invoice_number: 8042563460 	price: 792.28 	item_sku: 25384-094 	size: CS 	z-score: 6.81737772942
24. invoice_number: 8042525358 	price: 355.26 	item_sku: 47745-138 	size: CS 	z-score: 6.73480924369
25. invoice_number: 8041544386 	price: 448.52 	item_sku: 82050-856 	size: CS 	z-score: 6.72402563076
26. invoice_number: 8042576307 	price: 164.84 	item_sku: 59344-055 	size: EA 	z-score: 6.63199175404
27. invoice_number: 8042541492 	price: 28.17 	item_sku: 32933-970 	size: PK 	z-score: 6.57179280908
28. invoice_number: 8041625619 	price: 289.9 	item_sku: 53504-035 	size: CS 	z-score: 6.57145124595
29. invoice_number: 8042602201 	price: 46.0 	item_sku: TXICEP1DGT 	size: EA 	z-score: 6.50618022865
30. invoice_number: 8041576097 	price: 42.48 	item_sku: 32934-078 	size: PK 	z-score: 6.49233912856
31. invoice_number: 8042549841 	price: 26.82 	item_sku: TXTL3340VWR 	size: CS 	z-score: 6.48074069841
32. invoice_number: 8042541492 	price: 28.17 	item_sku: 32933-974 	size: PK 	z-score: 6.4732891357
33. invoice_number: 8042485826 	price: 225.58 	item_sku: 45000-304 	size: PK 	z-score: 6.44446390301
34. invoice_number: 8041545798 	price: 7014.0 	item_sku: 29185-308 	size: CS 	z-score: 6.32287810337
35. invoice_number: 8041552261 	price: 31.09 	item_sku: 32916-660 	size: PK 	z-score: 6.27131963149
36. invoice_number: 8042570644 	price: 1.74 	item_sku: 89130-922 	size: EA 	z-score: 6.19264801229
37. invoice_number: 8041569187 	price: 236.89 	item_sku: 53300-567 	size: CS 	z-score: 6.1820819919
38. invoice_number: 8042575241 	price: 55.25 	item_sku: TWTX1025 	size: PK 	z-score: 6.16441400297
39. invoice_number: 8041424875 	price: 95.15 	item_sku: 414004-499 	size: PK 	z-score: 6.0728856186
40. invoice_number: 8041553247 	price: 41.96 	item_sku: PH8817NB 	size: PK 	z-score: 6.06039774264
41. invoice_number: 8041425163 	price: 44.61 	item_sku: 89140-820 	size: PK 	z-score: 6.04986988747
